id,username,text,retweets,favorites,replies,permalink,date,mentions,hashtags
1201997183526014983,AndrewCideBruno,Sounds good #nextyear #2020 #lit #haha #dates #holidays https://www.instagram.com/p/B5oK5UjH3ck/?igshid=xo4t2tpy68kz …,0,0,0,https://twitter.com/AndrewCideBruno/status/1201997183526014983,2019-12-03 22:50:35+00:00,,#nextyear #2020 #lit #haha #dates #holidays
1201997160771813377,MsPurhpleUrhple,Serve up some warm wishes with holiday cookies made special by our cookie cutter set. #Avon #Cookies #CookieCutters #Christmas #Holidays #FamilyTime #CoolieSeason #DirectLink http://go.youravon.com/3hknmc pic.twitter.com/4fmQ4AfLuz,0,0,0,https://twitter.com/MsPurhpleUrhple/status/1201997160771813377,2019-12-03 22:50:29+00:00,,#Avon #Cookies #CookieCutters #Christmas #Holidays #FamilyTime #CoolieSeason #DirectLink
1201997135140405248,KathyImagineRE,#Santa is coming to town! #holidays #Christmas #neighborhood #Paradehttps://twitter.com/CityofLacey/status/1201978805612503040 …,0,1,0,https://twitter.com/KathyImagineRE/status/1201997135140405248,2019-12-03 22:50:23+00:00,,#Santa #holidays #Christmas #neighborhood #Paradehttps
1201997121794297856,_HarmonyArts,It's here! Give the gift of #relaxation for the #holidays . https://www.bookdepository.com/Mandala-Meditations-2-Harmony-Arts/9781629270289 … #mandalas #coloring #stressreliefpic.twitter.com/IrVqmMcVk8,1,1,0,https://twitter.com/_HarmonyArts/status/1201997121794297856,2019-12-03 22:50:20+00:00,,#relaxation #holidays #mandalas #coloring #stressreliefpic
1201997094313218048,OneLaSalleChi,One the first day of holiday our office management gave to me: How the Grinch Stole Christmas. Not pictured: our infamous popcorn machine. #holidays #onelasalle #mbremanagedpic.twitter.com/7bIKJrIjQq,0,0,0,https://twitter.com/OneLaSalleChi/status/1201997094313218048,2019-12-03 22:50:13+00:00,,#holidays #onelasalle #mbremanagedpic
1201997079813468164,NewMandarinMI,...And a Partridge in a #PearMartiniiiii!!! We're so happy to have the holiday season upon us. How about you? | PC: Kevin W. #ChristmasTime #Holidays #NewMandarinGardenpic.twitter.com/CYqAkrGc7L,0,0,0,https://twitter.com/NewMandarinMI/status/1201997079813468164,2019-12-03 22:50:10+00:00,,#PearMartiniiiii #ChristmasTime #Holidays #NewMandarinGardenpic
1201997060666470406,KiddosCook,Sharing 3 Ways to Encourage Kiddos in the Kitchen over on the blog. Check it out. http://ow.ly/KzY050xqtao #kiddoscook #Inspiration #holidays #hosting #holidayeating #AllergyParent #allergyfriendly #TipTuesday,0,0,0,https://twitter.com/KiddosCook/status/1201997060666470406,2019-12-03 22:50:05+00:00,,#kiddoscook #Inspiration #holidays #hosting #holidayeating #AllergyParent #allergyfriendly #TipTuesday
1201997056841175041,modtechent,Today is our day 9 of our 40 day #holidays celebration! Tonight we have a Stoner #Holiday #Movie Double Feature: A Very Harold & Kumar Christmas (2011) Friday After Next (2002) #Holidays2019 #Hollywood #Cinema #HolidayMovies #HolidaySeason #Christmas #HaroldAndKumar #Moviespic.twitter.com/PfbQXjxM8d,0,0,0,https://twitter.com/modtechent/status/1201997056841175041,2019-12-03 22:50:05+00:00,,#holidays #Holiday #Movie #Holidays2019 #Hollywood #Cinema #HolidayMovies #HolidaySeason #Christmas #HaroldAndKumar #Moviespic
1201997053049626624,juliebarrier,CRAIG LOUNSBROUGH gives us a sobering reminder in this article: don't forget how to honor Christ throughout this Christmas season! #preachitteachit #tistheseason #christmas #holidays #jesus #jesuschristhttps://loom.ly/Am9Nb6o,0,0,0,https://twitter.com/juliebarrier/status/1201997053049626624,2019-12-03 22:50:04+00:00,,#preachitteachit #tistheseason #christmas #holidays #jesus #jesuschristhttps
1201997039955009536,PatNeelyBBQKing,#ThankfulTuesdays #holidays #menu #love #family #patneelybbqking #foodpassion #foodies #foods #foodography #foodaholic #foodpic #chefsteps #foodlovers #cheflife #foodfantasy #Foodiechats #Foodhttps://buff.ly/2qdMKim,0,0,0,https://twitter.com/PatNeelyBBQKing/status/1201997039955009536,2019-12-03 22:50:01+00:00,,#ThankfulTuesdays #holidays #menu #love #family #patneelybbqking #foodpassion #foodies #foods #foodography #foodaholic #foodpic #chefsteps #foodlovers #cheflife #foodfantasy #Foodiechats #Foodhttps
1201996640665473024,MrsRameau,We are putting the last touch on our suitcases/ #journals. We are ready to travel the world and learned how they celebrate different #holidays. First stop Germany with Ms. Johnson! We will record our findings in our suitcases and share with you soon. #ParksideProudpic.twitter.com/tEl8qRd1w0,1,3,0,https://twitter.com/MrsRameau/status/1201996640665473024,2019-12-03 22:48:25+00:00,,#journals #holidays #ParksideProudpic
1201996630901305345,TravelFeatures,#Goingplaces: Favorite places to go where the holiday spirit glows brightest - Blog - The Island Now https://theislandnow.com/blog-112/going-places-favorite-places-to-go-where-the-holiday-spirit-glows-brightest/ … #XmasTravel #holidaytravel . @washingtondc . @DscvrNewport . @visitbrandywine . @LehighValleyPA . @capemaymac #Christmas2019 #bestplaces #familytravel #holidays pic.twitter.com/MA1gltEhjp,0,0,0,https://twitter.com/TravelFeatures/status/1201996630901305345,2019-12-03 22:48:23+00:00,@washingtondc @DscvrNewport @visitbrandywine @LehighValleyPA @capemaymac,#Goingplaces #XmasTravel #holidaytravel #Christmas2019 #bestplaces #familytravel #holidays
1201996629517258753,theeonlyariel,#clout #funny #tiktok #holidays #coworkerspic.twitter.com/ZjRrO4kjkT,0,1,0,https://twitter.com/theeonlyariel/status/1201996629517258753,2019-12-03 22:48:23+00:00,,#clout #funny #tiktok #holidays #coworkerspic
1201996539360616450,RebelsRosesShop,Take a peak at our new Christmas Ornament! https://ecs.page.link/2jPD6 #christmas #christmasbaby #holidays #decoration #ornamentspic.twitter.com/iQP61PTd6W,0,0,0,https://twitter.com/RebelsRosesShop/status/1201996539360616450,2019-12-03 22:48:01+00:00,,#christmas #christmasbaby #holidays #decoration #ornamentspic
