countries,0,1,2,3,4
Barbados,Cambodia,Seychelles,Mauritius,Bahamas,Philippines
Lithuania,Gambia,Mozambique,Bermuda,Anguilla,Mauritius
Norway,Luxembourg,Jordan,Denmark,Guinea,Iceland
Bulgaria,Liechtenstein,Ecuador,Montenegro,Botswana,Guam
Bhutan,Iceland,Denmark,Spain,Greenland,Ireland
Kuwait,Oman,United Arab Emirates,Mexico,Indonesia,Malawi
Palau,Haiti,Malta,Brazil,Macao,Andorra
Argentina,Kyrgyzstan,Zimbabwe,Madagascar,Italy,Mozambique
China,Armenia,Suriname,Italy,Madagascar,Bolivia
Philippines,Aruba,Venezuela,Barbados,Anguilla,Bahamas
Malaysia,Thailand,Myanmar,Seychelles,Israel,Cambodia
United Arab Emirates,Oman,France,Germany,Mexico,Pakistan
Seychelles,Mauritius,Barbados,Malaysia,Thailand,Bahamas
Sweden,Colombia,Vietnam,Australia,Germany,Japan
United States of America,France,Portugal,Japan,Croatia,Singapore
Guatemala,Serbia,Spain,Cuba,Colombia,Czechia
Romania,Madagascar,Mozambique,Kyrgyzstan,Zimbabwe,Scotland
Bangladesh,Pakistan,Egypt,Canada,Brunei,United Arab Emirates
Senegal,Nepal,Laos,Ethiopia,Algeria,Uganda
Montserrat,Poland,Portugal,Vietnam,Iceland,Azerbaijan
Angola,Poland,Portugal,Vietnam,Iceland,Azerbaijan
Qatar,Curacao,Vietnam,Greece,Japan,Australia
Cyprus,Mauritius,Myanmar,Greece,Malaysia,Barbados
Dominica,Canada,Morocco,Netherlands,Scotland,Croatia
Bahamas,Anguilla,Barbados,Seychelles,Aruba,Mauritius
Chile,Colombia,Vietnam,Japan,Australia,Greece
Mongolia,Botswana,Grenada,Tanzania,Macao,Slovakia
Germany,France,Japan,Portugal,Belgium,Colombia
Namibia,Belize,Latvia,Guinea,Azerbaijan,Croatia
Montenegro,Malawi,Cambodia,Oman,Ukraine,Mexico
Latvia,Azerbaijan,Namibia,Lebanon,Rwanda,Estonia
Kenya,Peru,Monaco,Australia,Canada,Curacao
Cuba,Netherlands,Spain,Croatia,Portugal,Denmark
Brazil,Haiti,Palau,Cambodia,Malta,Barbados
Suriname,Suriname,Georgia,Iran,Algeria,Ethiopia
Uzbekistan,Guam,Ecuador,Martinique,Bahrain,Bulgaria
India,Bhutan,Spain,Luxembourg,Denmark,Norway
Switzerland,Peru,Poland,Iceland,France,Singapore
Macedonia,Turkey,Reunion,Kyrgyzstan,Zimbabwe,Madagascar
Maldives,Indonesia,Tunisia,Egypt,Syria,Turkmenistan
Indonesia,Egypt,Maldives,Singapore,United Arab Emirates,France
Finland,Israel,Jordan,Bahamas,Mexico,Malaysia
Reunion,Turkey,Jamaica,Macedonia,Rwanda,Canada
Bolivia,Georgia,Italy,Suriname,Armenia,Kyrgyzstan
